-183.644, 78.274, 1.399,  1.765
-183.640, 78.227, 1.403,  1.798
-183.635, 78.180, 1.407,  1.831
-183.630, 78.133, 1.411,  1.864
-183.625, 78.086, 1.416,  1.897
-183.620, 78.039, 1.420,  1.930
-183.615, 77.991, 1.424,  1.963
-183.610, 77.944, 1.429,  1.996
-183.604, 77.896, 1.433,  2.029
-183.599, 77.848, 1.438,  2.062
-183.594, 77.800, 1.442,  2.095
-183.589, 77.752, 1.447,  2.128
-183.583, 77.704, 1.451,  2.161
-183.578, 77.655, 1.456,  2.194
-183.572, 77.607, 1.460,  2.227
-183.567, 77.558, 1.465,  2.260
-183.561, 77.509, 1.469,  2.293
-183.555, 77.460, 1.474,  2.326
-183.550, 77.411, 1.478,  2.359
-183.544, 77.362, 1.483,  2.392
-183.538, 77.312, 1.487,  2.425
-183.532, 77.263, 1.492,  2.458
-183.526, 77.213, 1.496,  2.491
-183.520, 77.163, 1.500,  2.524
-183.514, 77.113, 1.505,  2.557
-183.508, 77.063, 1.509,  2.590
-183.502, 77.013, 1.514,  2.623
-183.496, 76.962, 1.518,  2.656
-183.490, 76.912, 1.523,  2.689
-183.484, 76.861, 1.528,  2.722
-183.477, 76.810, 1.532,  2.755
-183.471, 76.759, 1.537,  2.788
-183.464, 76.708, 1.542,  2.821
-183.458, 76.657, 1.547,  2.854
-183.451, 76.605, 1.551,  2.887
-183.445, 76.554, 1.556,  2.920
-183.438, 76.502, 1.561,  2.953
-183.432, 76.450, 1.565,  2.986
-183.425, 76.398, 1.570,  3.019
-183.418, 76.346, 1.575,  3.052
-183.411, 76.293, 1.580,  3.085
-183.404, 76.241, 1.584,  3.118
-183.398, 76.188, 1.589,  3.151
-183.391, 76.135, 1.594,  3.184
-183.384, 76.082, 1.599,  3.217
-183.377, 76.029, 1.604,  3.250
-183.369, 75.976, 1.609,  3.283
-183.362, 75.922, 1.613,  3.316
-183.355, 75.869, 1.618,  3.349
-183.348, 75.815, 1.623,  3.382
-183.341, 75.761, 1.628,  3.415
-183.333, 75.707, 1.633,  3.448
-183.326, 75.653, 1.638,  3.481
-183.319, 75.598, 1.643,  3.514
-183.311, 75.544, 1.648,  3.547
-183.304, 75.489, 1.653,  3.580
-183.296, 75.434, 1.658,  3.613
-183.289, 75.379, 1.666,  3.646
-183.281, 75.324, 1.664,  3.679
-183.274, 75.269, 1.663,  3.712
-183.266, 75.215, 1.664,  3.745
